name,subtext,price,ratting,stock
Petrus Blond,Blond Beer | 6.5% | 33 cl,£ 2.39,(3.34),in-stock
Vedett Extra Blond,Blond Beer | 5.2% | 33 cl,£ 2.39,(3.31),out-of-stock
St. Bernardus Wit,White Beer | 5.5% | 33 cl,£ 2.29,(3.67),out-of-stock
Malheur 6,Blond Beer | 6.0% | 25 cl,£ 2.29,(3.35),out-of-stock
St. Feuillien Tripel,Tripel Beer | 8.5% | 33 cl,£ 2.89,(3.74),in-stock
Straffe Hendrik Tripel,Tripel Beer | 9.0% | 33 cl,£ 3.49,(3.83),out-of-stock
Walhalla Minerva,White Beer | 4.4% | 33 cl,£ 2.29,(3.22),out-of-stock
Steenbrugge Dubbel,Dubbel Beer | 6.5% | 33 cl,£ 2.79,(3.45),in-stock
"Piraat 10,5",Blond Beer | 10.5% | 33 cl,£ 2.99,(3.72),out-of-stock
Gipsy Hill Ranger,Pale Ale | 3.6% | 33 cl,£ 2.49,(3.61),out-of-stock
Moor Hoppiness,IPA | 6.5% | 33 cl,£ 2.95,(3.90),out-of-stock
Troubadour Blond,Blond Beer | 6.5% | 33 cl,£ 2.59,(3.49),out-of-stock
Steenbrugge Blond,Blond Beer | 6.5% | 33 cl,£ 2.79,(3.45),out-of-stock
Walhalla Heimdall,Bock Beer | 8.5% | 33 cl,£ 3.69,(3.76),out-of-stock
Troubadour Obscura,Brown Ale | 8.2% | 33 cl,£ 2.99,(3.61),out-of-stock
Moor Nor'Hop,Pale Ale | 4.1% | 33 cl,£ 2.59,(3.70),out-of-stock
Malheur 10,Blond Beer | 10.0% | 33 cl,£ 3.19,(3.73),out-of-stock
Weihenstephaner Korbinian,Bock Beer | 7.4% | 50 cl,£ 3.09,(3.84),out-of-stock
St. Feuillien Belgian Coast IPA,IPA | 5.5% | 33 cl,£ 2.49,(3.46),out-of-stock
